courseId,courseCode,courseNumber,courseTitle,description
1,,,"Jazz Vocal Repertoire I","A study of jazz vocal technique through performance of representative compositions and arrangements, and study of professional recordings demonstrating various jazz vocal styles. Special focus is on performance styles and building audience‑performer relationships. Students are expected to participate in public performances."
2,JPER,341,"Jazz Vocal Repertoire II","A study of jazz vocal technique through performance of representative compositions and arrangements, and study of professional recordings demonstrating various jazz vocal styles. Special focus is on performance styles and building audience‑performer relationships. Students are expected to participate in public performances."
3,JPER,441,"Choir I","A performance course in which students participate in the Jazz Choir. Students are required to participate in public performances."
4,MPER,231,"Chamber Ensemble I","A study, through performance, of selected works from a broad range of repertoires. The works studied are determined by class needs and the particular skills of each student. Participation in public performances is required."
5,MPER,321,"Chamber Ensemble II","A study, through performance, of selected works from a broad range of repertoires. The works studied are determined by class needs and the particular skills of each student. Participation in public performances is required."
6,MPER,322,"Choir II","A performance course in which students participate in the Jazz Choir. Students are required to participate in public performances."
7,MPER,332,"Chamber Ensemble III","A study, through performance, of selected works from a broad range of repertoires. The works studied are determined by class needs and the particular skills of each student. Participation in public performances is required."
8,MPER,421,"Chamber Ensemble IV","A study, through performance, of selected works from a broad range of repertoires. The works studied are determined by class needs and the particular skills of each student. Participation in public performances is required."
9,MPER,422,"Integrated Studio in Contemporary Art Practices I","A studio course designed to familiarize students with contemporary art practice and theory in its diverse manifestations. The course questions the boundaries of traditional art disciplines and engages the creative potential of transdisciplinary studio practice with a range of projects that explore, among other things, gesture, mapping, mark‑making and time‑based image and sound, as well as performative and environmental installation."
10,ARTX,280,"Intermediate Integrated Studio in Contemporary Art Practices","This is an intermediate studio course in which students explore and develop a self‑directed body of work. The content and context of the course are diverse and students use a wide range of approaches to and methodologies for contemporary art production. The course provides students with opportunities to examine potential roles for the artist today and is based on professional practices including art research, artist writings and exhibition projects."
11,ARTX,380,"Special Topics in Contemporary Studio Arts Practice","This studio course brings together students with a practice based in any of the studio disciplines, and/or who have been following an interdisciplinary practice, allowing discussion and exchange on their work in relation to the aspect of art making that this special topic addresses."
12,ARTX,398,"Special Topics in Contemporary Studio Arts Practice","This studio course brings together students with a practice based in any of the studio disciplines, and/or who have been following an interdisciplinary practice, allowing discussion and exchange on their work in relation to the aspect of art making that this special topic addresses."
13,ARTX,399,"Advanced Integrated Studio in Contemporary Art Practices","This course is structured to support advanced students in the development of a mature and self‑directed body of work within a transdisciplinary framework."
14,ARTX,480,"Drawing In Italy", "International"
15,DRAW,200,"The Engaged Theatre Artist","This studio course is designed to bring together students from all of the Department’s specializations to explore basic skills and principles of performance creation and acting for the theatre. The course combines theoretical readings and practical explorations relating to diverse perspectives on an artist’s role in society."
16,PERC,209,"The Audience and the Performance Event","Studio course"
17,PERC,210,"Cost and Management Accounting","This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing."
18,ACCO,330,"Analysis of Financial Statements","This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial statement analysis are discussed and applied to case studies and actual companies."
19,ACCO,355,"Financial Reporting III","This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations."
20,ACCO,420,"Financial Reporting IV","This course addresses special topics in accounting including financial reporting for not for profit organizations and government entities. Governance, social responsibility concepts, and accountability frameworks are illustrated by comparing the practices of selected organizations with authoritative standards."
21,ACCO,425,"Strategic Accounting Case Analysis","This course integrates topics in financial and management accounting, finance, and business strategy covered in previous courses. Students are involved in a case environment that requires them to analyze the external and internal environments of a business, perform financial analysis, evaluate alternatives, and recommend a plan of action. Students are introduced to enterprise resource planning (ERP) platforms used in companies, asset financing, and aspects of commercial lending to assess financing alternatives."
22,ACCO,435,"Fraud Prevention & Investigation","Real‑life fraud case analyses, discussions and presentations."
23,ACCO,455,"Advanced Assurance Services","This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors."
24,ACCO,465,"Honours seminar in accountancy","This seminar is the first of two offered to students in the Honours in Accountancy program over the course of two terms. This first seminar introduces students to accounting research, the process of conducting research, and different research methodologies."
25,ACCO,495,"Theory of Finance I","The course examines the allocation of capital in financial markets and the determination of the relative prices of financial assets. Topics covered include utility theory, arbitrage pricing theory, and asset pricing models such as the Capital Asset Pricing Model and the option pricing model. Applications explored include arbitrage, the design of markets and the appropriate responses of individuals and firms to changes in market conditions as well as to market imperfections."
26,FINA,385,"Theory of Finance II","This course focuses on the financial theory of the firm and examines the Modigliani-Miller propositions, agency theory, and asymmetric information theory. Topics covered include capital structure and the cost of capital, investment and financing decisions, real options, valuation and issuance of new securities, mergers and acquisitions, and leveraged buyout decisions."
27,FINA,395,"Short Term Financial Management","This course is concerned with the key aspects of short‑term financial management. It begins with a brief coverage of the institutional environment facing the financial manager in Canada. A detailed coverage of sources for short‑term borrowing and investments is presented. The structure of the Canadian financial system along with a description of the various methods of effecting payments as well as the clearing and settlement system are covered. Topics in overall liquidity management are briefly reviewed from a theoretical perspective. Traditional subjects in cash management such as collections, disbursement and control, forecasting, company bank relationship, short‑term investment, and borrowing are examined next. Such new developments as electronic data interchange and EFT/POS are also examined. The course also provides a coverage of trade credit both from a theoretical positive standpoint and a normative viewpoint."
28,FINA,402,"Cases in Finance","This course uses case discussions to focus on the application of the principles of finance learned in FINA 385 and FINA 395 in real‑world contexts. Cases cover topics in corporate finance, investments, and financial markets and institutions."
29,FINA,405,"Building & Testing Trading Systems Using Technical Analysis","This course provides a basic level of understanding of various technical analysis methodologies that are used by investment professionals and the investing public. The course examines market microstructure and order entry mechanics, high‑frequency trading, behavioural finance and the efficient market hypothesis. The main topics include analysis of price charts to forecast future price trends and patterns, development and testing of a trading system, Dow theory, moving averages, momentum, sentiment, relative strength and intermarket analysis. This course is an excellent preparation for several investment industry designations. Pedagogical methods include lectures, a presentation by an industry expert, and a group project to build and test a trading system using simulation and investment software in the John Dobson – Formula Growth Investment Room."
30,FINA,408,"Applied Investment Analysis","This course focuses on evaluating stocks using modern valuation methods. The main topics include understanding the different investment styles, reading and interpreting financial statements from an investor’s perspective, industry analysis and stock analysis. Pedagogical methods include lectures, discussion of books, presentations by industry experts, use of the Formula Growth Investment Room and evaluation of potential companies for investment purposes."
31,FINA,409,"Investment Analysis","This course focuses on investment valuation, particularly equity valuation, from the viewpoints of both the individual investor and the institutional investor. Students learn how to analyze industries, sectors and individual companies. Topics include a range of valuation models such as the dividend discount model, the comparable assets model, and the free cash flow model, to determine the intrinsic value of a stock. Students learn how to use investment tools such as Bloomberg for investment analysis. Students are required to prepare an industry analysis and stock recommendation using live data at the end of the course."
